Contrato;Frente de Servico;Fase;Tipo de Obra;Previsao de Inicio;Status Projeto Executivo - Linear;Status Projeto Executivo - Hidromecanico;Status Projeto Executivo - Eletrica;Status Projeto Executivo - Civil;Status Entrada de Energia;Coordenacao;Material Edital ;Diametro Edital (mm);Metodo Edital;Extensao Edital (m);Material;Diametro Executivo (mm);Metodo Executivo;Extensao Executivo (m);Vazao Edital (l/s);Altura Manometrica Edital;Potencia Edital;Economias Contempladas;Escopo
00200/24 - PACOTE 13;00200/24 - COLETOR TRONCO CAVALOS;Integra 1;Linear;;APROVADO;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - COLETOR TRONCO SECUNDARIO CAVALOS;Integra 1;Linear;;PENDENTE;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - COLETOR TRONCO SECUNDARIO ITAPEGICA;Integra 1;Linear;;PENDENTE;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - COLETOR TRONCO SECUNDARIO VILA SIRENA;Integra 1;Linear;;PENDENTE;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - ESTACAO ELEVATORIA DE ESGOTO EEE 01;Integra 1;Localizada;;PENDENTE;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - ESTACAO ELEVATORIA DE ESGOTO EEE 02;Integra 1;Localizada;;PENDENTE;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - ESTACAO ELEVATORIA DE ESGOTO EEE 03;Integra 1;Localizada;;APROVADO;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - ESTACAO ELEVATORIA DE ESGOTO EEE 04;Integra 1;Localizada;;PENDENTE;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - ESTACAO ELEVATORIA DE ESGOTO EEE 05;Integra 1;Localizada;;PENDENTE;APROVADO;APROVADO;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - ESTACAO ELEVATORIA DE ESGOTO EEE 06;Integra 1;Localizada;;PENDENTE;APROVADO;APROVADO;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - ESTACAO ELEVATORIA DE ESGOTO EEE 07;Integra 1;Localizada;;PENDENTE;APROVADO;APROVADO;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - ESTACAO ELEVATORIA DE ESGOTO EEE 08;Integra 1;Localizada;;PENDENTE;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - ESTACAO ELEVATORIA DE ESGOTO EEE 09;Integra 1;Localizada;;PENDENTE;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - ESTACAO ELEVATORIA DE ESGOTO EEE 10;Integra 1;Localizada;;PENDENTE;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - ESTACAO ELEVATORIA DE ESGOTO EEE 11;Integra 1;Localizada;;PENDENTE;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - INTERCEPTOR ITI-11;Integra 1;Linear;;PENDENTE;PENDENTE;PENDENTE;APROVADO;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - INTERLIGACAO CT CAVALOS;Integra 1;Linear;;PENDENTE;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
00200/24 - PACOTE 13;00200/24 - INTERLIGACAO CTS CAVALOS;Integra 1;Linear;;PENDENTE;PENDENTE;PENDENTE;PENDENTE;;EMN1;;;;;;;;;;;;;TR
